Gridkm2Code,Area,Residents,Daytime,ElDom05,ElDom06,ElDom07,ElDom08,ElEc705,ElEc706,ElEc707,ElEc708,ElInd05,ElInd06,ElInd07,ElInd08,GasDom05,GasDom06,GasDom07,GasDom08,GasInd05,GasInd06,GasInd07,GasInd08,Other05,Other06,Other07,Other08,Motorcy05,Motorcy06,Motorcy07,Motorcy08,Taxi05,Taxi06,Taxi07,Taxi08,Cars05,Cars06,Cars07,Cars08,Bus05,Bus06,Bus07,Bus08,LGV05,LGV06,LGV07,LGV08,HGVRig05,HGVRig06,HGVRig07,HGVRig,HGVArt05,HGVArt06,HGVArt07,HGVArt08,dummy,Gridkm2Code;Area;Residents;Daytime;ElDom05;ElDom06;ElDom07;ElDom08;ElEc705;ElEc706;ElEc707;ElEc708;ElInd05;ElInd06;ElInd07;ElInd08;GasDom05;GasDom06;GasDom07;GasDom08;GasInd05;GasInd06;GasInd07;GasInd08;Other05;Other06;Other07;Other08;Motorcy05;Motorcy06;Motorcy07;Motorcy08;Taxi05;Taxi06;Taxi07;Taxi08;Cars05;Cars06;Cars07;Cars08;Bus05;Bus06;Bus07;Bus08;LGV05;LGV06;LGV07;LGV08;HGVRig05;HGVRig06;HGVRig07;HGVRig;HGVArt05;HGVArt06;HGVArt07;HGVArt08;dummy
6443,2.61E+05,9.69E+00,1.40E+01,6.72E-03,6.68E-03,6.41E-03,6.22E-03,4.88E-03,4.71E-03,4.76E-03,4.45E-03,3.13E-02,4.47E-02,4.60E-02,3.15E-02,3.73E-02,3.62E-02,3.56E-02,3.52E-02,2.89E-02,2.78E-02,3.24E-02,2.84E-02,2.44E-03,2.27E-03,2.32E-03,2.32E-03,2.27E-02,2.54E-02,2.52E-02,2.78E-02,1.83E-01,1.77E-01,1.79E-01,1.64E-01,8.61E+00,8.72E+00,8.54E+00,8.06E+00,2.72E-01,2.87E-01,2.87E-01,2.74E-01,1.51E+00,1.66E+00,1.66E+00,1.75E+00,1.85E+00,1.89E+00,1.88E+00,2.02E+00,6.49E+00,6.78E+00,6.72E+00,6.87E+00,0,6443; 2.61320000000000E+0005; 9.69000000000000E+0000; 1.39700000000000E+0001; 6.72079649017597E-0003; 6.68060713189868E-0003; 6.40627107757105E-0003; 6.21580846660474E-0003; 4.87994914473551E-0003; 4.71220225801288E-0003; 4.75938106990362E-0003; 4.45097142921046E-0003; 3.12978995992946E-0002; 4.46997400622201E-0002; 4.60041468428289E-0002; 3.15495199293786E-0002; 3.73219349323805E-0002; 3.62259012376226E-0002; 3.55955398898602E-0002; 3.51678726968877E-0002; 2.89472589809237E-0002; 2.78171516998002E-0002; 3.23685965247039E-0002; 2.84081973709869E-0002; 2.44368771959990E-0003; 2.27026190181635E-0003; 2.32224596306633E-0003; 2.32224596306633E-0003; 2.27244610607055E-0002; 2.53629797997801E-0002; 2.51755750747697E-0002; 2.78009885883191E-0002; 1.83235952770864E-0001; 1.77323748695593E-0001; 1.78824733859080E-0001; 1.64419033120924E-0001; 8.61355669180773E+0000; 8.72192904376586E+0000; 8.53506163300196E+0000; 8.05533087374461E+0000; 2.71558183357132E-0001; 2.87075207219826E-0001; 2.87154712254679E-0001; 2.73670308870945E-0001; 1.50510326218768E+0000; 1.66477427210083E+0000; 1.65615365475035E+0000; 1.74555444539734E+0000; 1.84968463585296E+0000; 1.89288863284190E+0000; 1.88211832166444E+0000; 2.01839956190105E+0000; 6.49402628873293E+0000; 6.77874255535822E+0000; 6.72144345147607E+0000; 6.86823770362899E+0000;0
6444,3.34E+05,9.71E+00,1.69E+01,4.47E-03,4.40E-03,4.28E-03,4.08E-03,4.01E-03,3.88E-03,3.90E-03,3.65E-03,3.19E-02,4.55E-02,4.68E-02,3.21E-02,2.57E-02,2.44E-02,2.40E-02,2.33E-02,2.67E-02,2.58E-02,3.10E-02,2.70E-02,2.04E-03,1.90E-03,1.94E-03,1.94E-03,1.86E-02,1.99E-02,1.97E-02,2.08E-02,1.50E-01,1.46E-01,1.47E-01,1.36E-01,6.92E+00,7.06E+00,6.91E+00,6.57E+00,1.90E-01,2.09E-01,2.09E-01,2.07E-01,1.24E+00,1.36E+00,1.35E+00,1.42E+00,1.55E+00,1.58E+00,1.57E+00,1.67E+00,5.55E+00,5.79E+00,5.74E+00,5.86E+00,0,6444; 3.34319000000000E+0005; 9.71000000000000E+0000; 1.68600000000000E+0001; 4.46658682331141E-0003; 4.40375890683031E-0003; 4.28322491488559E-0003; 4.08381457127165E-0003; 4.00971860455209E-0003; 3.87620928202975E-0003; 3.90420867959198E-0003; 3.64709226051443E-0003; 3.18520463755797E-0002; 4.54911675490643E-0002; 4.68184072847276E-0002; 3.21081384264538E-0002; 2.56792035813114E-0002; 2.44404009672167E-0002; 2.39521187902168E-0002; 2.33354491317120E-0002; 2.66776211236524E-0002; 2.58400293892603E-0002; 3.09704068084373E-0002; 2.69555663628677E-0002; 2.04122437350016E-0003; 1.89542263253587E-0003; 1.93981192135404E-0003; 1.93981192135404E-0003; 1.85554056381308E-0002; 1.98857184784046E-0002; 1.97392338253046E-0002; 2.08301859620281E-0002; 1.50202085310449E-0001; 1.46202951844000E-0001; 1.47440388633823E-0001; 1.36292189475174E-0001; 6.92068109395039E+0000; 7.05838725300246E+0000; 6.90716250676885E+0000; 6.57282135902219E+0000; 1.90352538502552E-0001; 2.08767264240736E-0001; 2.08825653228335E-0001; 2.07091397859816E-0001; 1.23650427330220E+0000; 1.35956094267607E+0000; 1.35252046001344E+0000; 1.41656191135962E+0000; 1.55299204908619E+0000; 1.57833628426496E+0000; 1.56935837987345E+0000; 1.66908608778090E+0000; 5.55025297045950E+0000; 5.78881125225038E+0000; 5.73987650025723E+0000; 5.85896101119401E+0000;0
6445,5.49E+05,1.59E+01,2.77E+01,4.47E-03,4.40E-03,4.28E-03,4.08E-03,4.01E-03,3.88E-03,3.90E-03,3.65E-03,3.19E-02,4.55E-02,4.68E-02,3.21E-02,2.57E-02,2.44E-02,2.40E-02,2.33E-02,2.67E-02,2.58E-02,3.10E-02,2.70E-02,2.04E-03,1.90E-03,1.94E-03,1.94E-03,1.06E-02,1.13E-02,1.12E-02,1.19E-02,8.55E-02,8.32E-02,8.39E-02,7.76E-02,3.94E+00,4.02E+00,3.93E+00,3.74E+00,1.08E-01,1.19E-01,1.19E-01,1.18E-01,7.04E-01,7.74E-01,7.70E-01,8.06E-01,8.84E-01,8.98E-01,8.93E-01,9.50E-01,3.16E+00,3.29E+00,3.27E+00,3.33E+00,0,6445; 5.48817000000000E+0005; 1.59100000000000E+0001; 2.77000000000000E+0001; 4.46643545619497E-0003; 4.40382673490244E-0003; 4.28339334743273E-0003; 4.08350304456852E-0003; 4.00966219387466E-0003; 3.87591665304043E-0003; 3.90399697654373E-0003; 3.64711401708763E-0003; 3.18522389581782E-0002; 4.54909560849283E-0002; 4.68182193758509E-0002; 3.21087059128417E-0002; 2.56791438401717E-0002; 2.44404895700818E-0002; 2.39520999435207E-0002; 2.33359968456187E-0002; 2.66777633449075E-0002; 2.58393056853387E-0002; 3.09703087977783E-0002; 2.69552385415994E-0002; 2.04091951269897E-0003; 1.89531783527447E-0003; 1.94024635287974E-0003; 1.94024635287974E-0003; 1.05611136707886E-0002; 1.13182423933960E-0002; 1.12344174276787E-0002; 1.18559285878851E-0002; 8.54885688830262E-0002; 8.32128146648811E-0002; 8.39171107788231E-0002; 7.75715816742667E-0002; 3.93895905932930E+0000; 4.01733581827972E+0000; 3.93126463468460E+0000; 3.74097239439621E+0000; 1.08340960157199E-0001; 1.18821576900611E-0001; 1.18854649281626E-0001; 1.17867677911084E-0001; 7.03765707831364E-0001; 7.73804482722876E-0001; 7.69797524560153E-0001; 8.06247240484209E-0001; 8.83897447064285E-0001; 8.98322205246731E-0001; 8.93212834383508E-0001; 9.49973360301094E-0001; 3.15896983335422E+0000; 3.29474755760050E+0000; 3.26689541272597E+0000; 3.33467320156947E+0000;0
6446,7.64E+05,6.47E+01,8.33E+01,1.30E-02,1.28E-02,1.25E-02,1.19E-02,1.17E-02,1.13E-02,1.14E-02,1.06E-02,6.42E-02,9.16E-02,9.43E-02,6.47E-02,7.48E-02,7.12E-02,6.98E-02,6.80E-02,5.37E-02,5.20E-02,6.24E-02,5.43E-02,5.45E-03,5.06E-03,5.18E-03,5.18E-03,9.01E-03,9.56E-03,9.49E-03,9.92E-03,6.74E-02,6.56E-02,6.61E-02,6.11E-02,3.18E+00,3.23E+00,3.16E+00,3.01E+00,8.92E-02,9.71E-02,9.71E-02,9.60E-02,5.61E-01,6.15E-01,6.11E-01,6.39E-01,6.95E-01,7.06E-01,7.02E-01,7.45E-01,2.46E+00,2.56E+00,2.54E+00,2.59E+00,0,6446; 7.64316000000000E+0005; 6.46600000000000E+0001; 8.33100000000000E+0001; 1.30183250844560E-0002; 1.28349158029523E-0002; 1.24822860687256E-0002; 1.19012908691738E-0002; 1.16851726034279E-0002; 1.12974441874802E-0002; 1.13761548481907E-0002; 1.06301211665040E-0002; 6.41542665861912E-0002; 9.16250339546140E-0002; 9.42974625164599E-0002; 6.46698438172588E-0002; 7.48378572337851E-0002; 7.12264269188333E-0002; 6.98033620701624E-0002; 6.80061602099550E-0002; 5.37316010320721E-0002; 5.20441758998006E-0002; 6.23782732911088E-0002; 5.42915370225913E-0002; 5.44641926654401E-0003; 5.05898956278119E-0003; 5.17548731487641E-0003; 5.17548731487641E-0003; 9.00871142708647E-0003; 9.55834184722803E-0003; 9.48859255206332E-0003; 9.91500419595032E-0003; 6.74197881910757E-0002; 6.55674739327617E-0002; 6.61215850356762E-0002; 6.10990383594478E-0002; 3.17792560087927E+0000; 3.23226523056363E+0000; 3.16335949860897E+0000; 3.00654426421107E+0000; 8.91567751711197E-0002; 9.70962463325014E-0002; 9.71273123997268E-0002; 9.60271554228891E-0002; 5.60815100479251E-0001; 6.14599274855859E-0001; 6.11462498202649E-0001; 6.38837677671917E-0001; 6.94932689510597E-0001; 7.05813430200199E-0001; 7.01800978777073E-0001; 7.45380846206693E-0001; 2.45699897704220E+0000; 2.56250546493942E+0000; 2.54084405214215E+0000; 2.59345130051041E+0000;0
6447,8.40E+05,1.07E+02,1.45E+02,1.96E-02,1.94E-02,1.88E-02,1.80E-02,1.76E-02,1.70E-02,1.72E-02,1.60E-02,1.01E-01,1.44E-01,1.49E-01,1.02E-01,1.13E-01,1.07E-01,1.05E-01,1.03E-01,8.47E-02,8.20E-02,9.83E-02,8.55E-02,8.29E-03,7.70E-03,7.88E-03,7.88E-03,7.63E-03,8.10E-03,8.04E-03,8.41E-03,5.75E-02,5.59E-02,5.64E-02,5.21E-02,2.70E+00,2.75E+00,2.69E+00,2.56E+00,7.57E-02,8.25E-02,8.25E-02,8.16E-02,4.78E-01,5.24E-01,5.21E-01,5.44E-01,5.93E-01,6.02E-01,5.98E-01,6.36E-01,2.10E+00,2.19E+00,2.17E+00,2.21E+00,0,6447; 8.39609000000000E+0005; 1.07170000000000E+0002; 1.45340000000000E+0002; 1.96386803683478E-0002; 1.93618609305807E-0002; 1.88292962263893E-0002; 1.79526106985296E-0002; 1.76271167230805E-0002; 1.70430222708960E-0002; 1.71600858936453E-0002; 1.60362207302942E-0002; 1.01087225473092E-0001; 1.44373845335955E-0001; 1.48584464770243E-0001; 1.01898785013382E-0001; 1.12892432409734E-0001; 1.07444419211636E-0001; 1.05296349321026E-0001; 1.02585259149574E-0001; 8.46647355764442E-0002; 8.20063988145471E-0002; 9.82897991803327E-0002; 8.55479472993003E-0002; 8.29180266781171E-0003; 7.70267760698417E-0003; 7.87847698470169E-0003; 7.87847698470169E-0003; 7.62694655254592E-0003; 8.09927991541573E-0003; 8.04013627326018E-0003; 8.40818647858216E-0003; 5.74730721988439E-0002; 5.58980838063615E-0002; 5.63705531316270E-0002; 5.20903209507104E-0002; 2.70353718844265E+0000; 2.75043809667199E+0000; 2.69177793679577E+0000; 2.55862017333563E+0000; 7.57151468379462E-0002; 8.25090517916714E-0002; 8.25348846468658E-0002; 8.16223050465255E-0002; 4.77626514899132E-0001; 5.23588330860966E-0001; 5.20912318987620E-0001; 5.44354819302142E-0001; 5.92571979484841E-0001; 6.01885267631996E-0001; 5.98463637980303E-0001; 6.35705913577265E-0001; 2.09716162672828E+0000; 2.18722393345400E+0000; 2.16873508706659E+0000; 2.21364632159639E+0000;0
6448,7.22E+05,2.10E+01,3.65E+01,4.47E-03,4.40E-03,4.28E-03,4.08E-03,4.01E-03,3.88E-03,3.90E-03,3.65E-03,3.19E-02,4.55E-02,4.68E-02,3.21E-02,2.57E-02,2.44E-02,2.40E-02,2.33E-02,2.67E-02,2.58E-02,3.10E-02,2.70E-02,2.04E-03,1.90E-03,1.94E-03,1.94E-03,8.22E-03,8.81E-03,8.74E-03,9.22E-03,6.65E-02,6.47E-02,6.53E-02,6.03E-02,3.06E+00,3.13E+00,3.06E+00,2.91E+00,8.43E-02,9.24E-02,9.25E-02,9.17E-02,5.48E-01,6.02E-01,5.99E-01,6.27E-01,6.88E-01,6.99E-01,6.95E-01,7.39E-01,2.46E+00,2.56E+00,2.54E+00,2.59E+00,0,6448; 7.22346000000000E+0005; 2.09600000000000E+0001; 3.64700000000000E+0001; 4.46651585668599E-0003; 4.40361831180537E-0003; 4.28367048124157E-0003; 4.08391546433427E-0003; 4.00979750315584E-0003; 3.87578464371171E-0003; 3.90391470147239E-0003; 3.64726743291427E-0003; 3.18522333249348E-0002; 4.54912024540233E-0002; 4.68180561897461E-0002; 3.21087225594605E-0002; 2.56792659867891E-0002; 2.44402791730602E-0002; 2.39524281151545E-0002; 2.33359373549050E-0002; 2.66781991053580E-0002; 2.58393544615732E-0002; 3.09705614583795E-0002; 2.69552327640910E-0002; 2.04069345990823E-0003; 1.89530215013392E-0003; 1.94034184935748E-0003; 1.94034184935748E-0003; 8.21618934257172E-0003; 8.80502414715765E-0003; 8.73991412582394E-0003; 9.22349826485586E-0003; 6.65070421798016E-0002; 6.47361128131376E-0002; 6.52843328714062E-0002; 6.03476657684392E-0002; 3.06436048488229E+0000; 3.12533443952099E+0000; 3.05837447180443E+0000; 2.91033435361369E+0000; 8.42849226164868E-0002; 9.24385304822426E-0002; 9.24644480635502E-0002; 9.16965607002966E-0002; 5.47503057863706E-0001; 6.01990505644046E-0001; 5.98873284355679E-0001; 6.27229962918768E-0001; 6.87638629823700E-0001; 6.98860468427790E-0001; 6.94885596445787E-0001; 7.39043149700696E-0001; 2.45755800098682E+0000; 2.56318810625253E+0000; 2.54152021810922E+0000; 2.59424890514338E+0000;0
6449,2.84E+05,8.22E+00,1.43E+01,4.47E-03,4.40E-03,4.28E-03,4.08E-03,4.01E-03,3.88E-03,3.90E-03,3.65E-03,3.19E-02,4.55E-02,4.68E-02,3.21E-02,2.57E-02,2.44E-02,2.40E-02,2.33E-02,2.67E-02,2.58E-02,3.10E-02,2.70E-02,2.04E-03,1.90E-03,1.94E-03,1.94E-03,2.30E-02,2.47E-02,2.45E-02,2.58E-02,1.86E-01,1.81E-01,1.83E-01,1.69E-01,8.58E+00,8.75E+00,8.57E+00,8.15E+00,2.36E-01,2.59E-01,2.59E-01,2.57E-01,1.53E+00,1.69E+00,1.68E+00,1.76E+00,1.93E+00,1.96E+00,1.95E+00,2.07E+00,6.88E+00,7.18E+00,7.12E+00,7.27E+00,0,6449; 2.83700000000000E+0005; 8.22000000000000E+0000; 1.43200000000000E+0001; 4.46601738604192E-0003; 4.40364846137875E-0003; 4.28373917396182E-0003; 4.08415861503968E-0003; 4.00891352528476E-0003; 3.87612807277609E-0003; 3.90308754343694E-0003; 3.64717376223839E-0003; 3.18524133957184E-0002; 4.54910888889962E-0002; 4.68181386537647E-0002; 3.21091319372351E-0002; 2.56790969945421E-0002; 2.44409732449385E-0002; 2.39520813516110E-0002; 2.33356349478435E-0002; 2.66782069296301E-0002; 2.58396466780299E-0002; 3.09703960869334E-0002; 2.69554468592619E-0002; 2.04087216704249E-0003; 1.89521054944206E-0003; 1.94067950742230E-0003; 1.94067950742230E-0003; 2.30129260602315E-0002; 2.46622823324529E-0002; 2.44804065005319E-0002; 2.58340133558022E-0002; 1.86281894663312E-0001; 1.81321754441875E-0001; 1.82856834748907E-0001; 1.69030650101480E-0001; 8.58307420051086E+0000; 8.75385842334578E+0000; 8.56630822642093E+0000; 8.15165748435144E+0000; 2.36076841734226E-0001; 2.58915134805401E-0001; 2.58986356093565E-0001; 2.56836438903401E-0001; 1.53352068153542E+0000; 1.68613623304571E+0000; 1.67740498597303E+0000; 1.75683040320101E+0000; 1.92603126010980E+0000; 1.95746278385908E+0000; 1.94632932723647E+0000; 2.07001173340544E+0000; 6.88346064641568E+0000; 7.17932353457170E+0000; 7.11863293755221E+0000; 7.26632295353475E+0000;0
6450,6.86E+04,1.18E+02,4.89E+01,2.44E-01,2.43E-01,2.34E-01,2.26E-01,2.39E-01,2.30E-01,2.29E-01,2.14E-01,1.22E-01,1.74E-01,1.79E-01,1.23E-01,1.36E+00,1.31E+00,1.29E+00,1.25E+00,9.01E-02,8.85E-02,9.79E-02,8.47E-02,8.99E-02,8.35E-02,8.54E-02,8.54E-02,7.46E-02,7.61E-02,7.55E-02,7.84E-02,4.40E-01,4.24E-01,4.27E-01,3.99E-01,2.08E+01,2.10E+01,2.05E+01,1.97E+01,5.81E-01,6.22E-01,6.22E-01,6.17E-01,3.81E+00,4.08E+00,4.06E+00,4.23E+00,4.56E+00,4.59E+00,4.57E+00,4.82E+00,1.48E+01,1.53E+01,1.52E+01,1.55E+01,0,6450; 6.85730000000000E+0004; 1.17770000000000E+0002; 4.88700000000000E+0001; 2.43744176372518E-0001; 2.42876854163416E-0001; 2.34206961524255E-0001; 2.25555380870315E-0001; 2.38620149962507E-0001; 2.29529081663264E-0001; 2.29355950166629E-0001; 2.13962229499516E-0001; 1.21856273289931E-0001; 1.74038772265959E-0001; 1.79111192172166E-0001; 1.22835132136288E-0001; 1.36232846414317E+0000; 1.31072196033864E+0000; 1.28888907977746E+0000; 1.24950832319682E+0000; 9.01249323538619E-0002; 8.84801831358336E-0002; 9.78525901171081E-0002; 8.46812785654484E-0002; 8.98785529163435E-0002; 8.34926642520150E-0002; 8.53887870853492E-0002; 8.53887870853492E-0002; 7.45947041605563E-0002; 7.60596629782333E-0002; 7.55169623253211E-0002; 7.83636436642163E-0002; 4.39858879185312E-0001; 4.23832562665112E-0001; 4.27358452183112E-0001; 3.98508751830449E-0001; 2.08300979384900E+0001; 2.09692157549396E+0001; 2.05291238141242E+0001; 1.96772219613042E+0001; 5.80644751015932E-0001; 6.21733516399914E-0001; 6.21986554741149E-0001; 6.16564542389815E-0001; 3.80530544158287E+0000; 4.07976381134873E+0000; 4.06119878778653E+0000; 4.23170834108263E+0000; 4.56494318923000E+0000; 4.59258596328400E+0000; 4.56701244355996E+0000; 4.81886716465944E+0000; 1.47625697961316E+0001; 1.53294356106317E+0001; 1.52005142404984E+0001; 1.55096055684949E+0001;0
6451,7.24E+04,3.13E+02,1.46E+02,5.51E-01,5.58E-01,5.31E-01,5.24E-01,5.25E-01,5.04E-01,4.96E-01,4.61E-01,5.02E-01,7.17E-01,7.38E-01,5.06E-01,3.02E+00,2.93E+00,2.91E+00,2.80E+00,1.37E-01,5.93E-01,3.57E-01,3.45E-01,2.30E-01,2.13E-01,2.18E-01,2.18E-01,1.13E-01,1.14E-01,1.13E-01,1.12E-01,6.71E-01,6.59E-01,6.64E-01,6.25E-01,3.24E+01,3.33E+01,3.26E+01,3.15E+01,1.01E+00,1.06E+00,1.06E+00,1.01E+00,5.84E+00,6.30E+00,6.27E+00,5.97E+00,5.75E+00,5.86E+00,5.83E+00,5.91E+00,2.13E+01,2.26E+01,2.25E+01,2.15E+01,0,6451; 7.23930000000000E+0004; 3.13070000000000E+0002; 1.45520000000000E+0002; 5.50893344906389E-0001; 5.57819012623070E-0001; 5.31054586813592E-0001; 5.23636931772775E-0001; 5.25302119639081E-0001; 5.03739829029359E-0001; 4.96468824056313E-0001; 4.61398958387144E-0001; 5.02140870225917E-0001; 7.17161407227559E-0001; 7.38080329798026E-0001; 5.06174535530851E-0001; 3.02106550956294E+0000; 2.92864285233562E+0000; 2.90815914932112E+0000; 2.79615949648756E+0000; 1.37471035034733E-0001; 5.93133295071858E-0001; 3.57245872620571E-0001; 3.44849999687777E-0001; 2.29761234136326E-0001; 2.13429462610446E-0001; 2.18281529906490E-0001; 2.18281529906490E-0001; 1.13153930786340E-0001; 1.13666417582315E-0001; 1.12848015591204E-0001; 1.11909770533958E-0001; 6.71381355963741E-0001; 6.58700067307650E-0001; 6.64220732762136E-0001; 6.25062010902313E-0001; 3.24012507326984E+0001; 3.32904389769515E+0001; 3.25887814779640E+0001; 3.15221624205322E+0001; 1.01389441586187E+0000; 1.06253177812356E+0000; 1.06294019067789E+0000; 1.01090780050318E+0000; 5.84361571071953E+0000; 6.30050478530209E+0000; 6.27014191374365E+0000; 5.96525169219986E+0000; 5.74866688780866E+0000; 5.86142029045292E+0000; 5.82909735401017E+0000; 5.90714042018367E+0000; 2.13055867620592E+0001; 2.26443394619185E+0001; 2.24539766357743E+0001; 2.15131139536625E+0001;0
6452,9.82E+03,2.19E+01,1.80E+01,2.95E-01,2.97E-01,2.84E-01,2.83E-01,1.85E-01,1.81E-01,1.76E-01,1.63E-01,9.07E-01,1.29E+00,1.33E+00,9.14E-01,1.78E+00,1.68E+00,1.68E+00,1.62E+00,1.71E-01,1.31E+00,7.65E-01,7.56E-01,1.30E-01,1.20E-01,1.23E-01,1.23E-01,1.27E-01,1.29E-01,1.28E-01,1.27E-01,9.02E-01,8.91E-01,8.98E-01,8.48E-01,4.15E+01,4.30E+01,4.21E+01,4.10E+01,1.44E+00,1.52E+00,1.52E+00,1.48E+00,7.59E+00,8.26E+00,8.22E+00,7.78E+00,7.39E+00,7.59E+00,7.54E+00,7.68E+00,2.91E+01,3.10E+01,3.07E+01,2.93E+01,0,6452; 9.82200000000000E+0003; 2.18500000000000E+0001; 1.80300000000000E+0001; 2.95116079921228E-0001; 2.96859440506774E-0001; 2.84016684193252E-0001; 2.82947423034117E-0001; 1.85261118224022E-0001; 1.80577289450855E-0001; 1.76474580872870E-0001; 1.63352886865661E-0001; 9.06663728522960E-0001; 1.29488688611625E+0000; 1.33265969880308E+0000; 9.13927730962735E-0001; 1.77553139955128E+0000; 1.67907706955497E+0000; 1.67701990406403E+0000; 1.61637420049484E+0000; 1.70663378921050E-0001; 1.30963571666997E+0000; 7.64986624937588E-0001; 7.56118730759110E-0001; 1.29543313909972E-0001; 1.20349992422192E-0001; 1.23081257339548E-0001; 1.23081257339548E-0001; 1.27032874666786E-0001; 1.29113284965537E-0001; 1.28160247845439E-0001; 1.27265322744858E-0001; 9.02491285521553E-0001; 8.90508587096900E-0001; 8.97981792806941E-0001; 8.47563804672950E-0001; 4.14542091233081E+0001; 4.30424106167405E+0001; 4.21272160437523E+0001; 4.09523304779411E+0001; 1.43572717662056E+0000; 1.51836246837544E+0000; 1.51905981260966E+0000; 1.48106617424866E+0000; 7.58838373272562E+0000; 8.26372675635443E+0000; 8.22244397768870E+0000; 7.77752673385346E+0000; 7.39174428107994E+0000; 7.58591978309805E+0000; 7.54392803779420E+0000; 7.67606314777468E+0000; 2.90824623503848E+0001; 3.09936272034916E+0001; 3.07326461238353E+0001; 2.93213724850280E+0001;0
