MLSOACode;Area;Residents;Daytime;ElDom05;ElDom06;ElDom07;ElDom08;ElEc705;ElEc706;ElEc707;ElEc708;ElInd05;ElInd06;ElInd07;ElInd08;GasDom05;GasDom06;GasDom07;GasDom08;GasInd05;GasInd06;GasInd07;GasInd08;Other05;Other06;Other07;Other08;Motorcy05;Motorcy06;Motorcy07;Motorcy08;Taxi05;Taxi06;Taxi07;Taxi08;Cars05;Cars06;Cars07;Cars08;Bus05;Bus06;Bus07;Bus08;LGV05;LGV06;LGV07;LGV08;HGVRig05;HGVRig06;HGVRig07;HGVRig;HGVArt05;HGVArt06;HGVArt07;HGVArt08;dummy
E02000001; 3.15146900000000E+0006; 7.18500000000000E+0003; 3.13954970000000E+0005; 7.45540626773096E-0001; 6.97002089962508E-0001; 7.00298407333592E-0001; 7.15103092656314E-0001; 1.84048546145062E-0001; 1.93756166572292E-0001; 2.08100604111837E-0001; 2.05069655484619E-0001; 9.38132328419934E+0001; 9.84450503289318E+0001; 9.16427587757215E+0001; 9.26671411703225E+0001; 1.32359738951978E+0000; 1.30907669149598E+0000; 1.32082434772526E+0000; 1.35687233347065E+0000; 3.42343371199113E+0001; 3.21889767009010E+0001; 3.35743203186721E+0001; 3.28719953504440E+0001; 9.23827853036996E-0001; 7.60915460065850E-0001; 7.63440447648252E-0001; 7.63440447648252E-0001; 2.18649536912126E-0001; 2.13719278331882E-0001; 2.12535949622543E-0001; 2.03144409956843E-0001; 1.00976624931531E+0000; 9.50832944238133E-0001; 9.55039506103431E-0001; 8.84029206465114E-0001; 3.27367706324318E+0000; 3.13411016494126E+0000; 3.08069733388420E+0000; 2.89095752288810E+0000; 1.12701667223217E+0000; 1.15010418762296E+0000; 1.15338268334212E+0000; 1.14537014832820E+0000; 9.32317081016959E-0001; 9.50780384854111E-0001; 9.53346811399518E-0001; 9.36538421813119E-0001; 6.49213439001704E-0001; 7.11790438770968E-0001; 7.08987476886024E-0001; 7.29218130761665E-0001; 1.07687476631449E-0001; 1.09679046233756E-0001; 1.08913765664324E-0001; 1.05113370837652E-0001;0
E02000002; 2.16157100000000E+0006; 6.23703000000000E+0003; 2.86895000000000E+0003; 3.62231206062459E-0001; 3.63077506230042E-0001; 3.60647872188866E-0001; 3.48185105408991E-0001; 2.09819490559134E-0001; 2.05699579877479E-0001; 2.00313466835888E-0001; 1.80558787691640E-0001; 4.32439317362804E-0001; 4.36223031672113E-0001; 4.38379367531245E-0001; 4.22114666563258E-0001; 2.04784889150331E+0000; 1.92521812242136E+0000; 1.87878061560963E+0000; 1.79405648921643E+0000; 2.73928220171187E-0001; 2.40863365043379E-0001; 2.38804888417354E-0001; 1.99024291585287E-0001; 3.22124869484143E-0001; 3.16717948812846E-0001; 3.11924536350400E-0001; 3.11924536350400E-0001; 9.18736068354513E-0003; 8.57158159125045E-0003; 8.51121834060784E-0003; 7.35180031382933E-0003; 1.70579258364491E-0002; 1.66907292645173E-0002; 1.68276160061321E-0002; 1.57066973754327E-0002; 9.38771069576111E-0001; 9.49543401281778E-0001; 9.30829050811554E-0001; 8.92271509553969E-0001; 4.63286628400950E-0002; 5.05098873747645E-0002; 5.05426831566097E-0002; 4.87190581277909E-0002; 1.56887838018387E-0001; 1.58582339558298E-0001; 1.58039704037429E-0001; 1.53224374909177E-0001; 9.07534275621526E-0002; 9.64740998275588E-0002; 9.59526944263388E-0002; 9.36706149978450E-0002; 3.88148904442701E-0002; 3.76868951070212E-0002; 3.73833888940352E-0002; 2.87194404389405E-0002;0
E02000003; 2.14153000000000E+0006; 9.19000000000001E+0003; 5.92297000000000E+0003; 5.70048796035319E-0001; 5.78205065140663E-0001; 5.60400933425590E-0001; 5.64031675215690E-0001; 3.58532286917216E-0001; 3.52402584956810E-0001; 3.56346123211914E-0001; 3.08841679295264E-0001; 1.76058812302654E+0000; 1.77599350884435E+0000; 1.78477291882834E+0000; 1.71855671105455E+0000; 3.47979313513893E+0000; 3.34835278758900E+0000; 3.28725912833156E+0000; 3.18667352942537E+0000; 6.26888466013086E-0001; 5.30424552223971E-0001; 4.31456827467291E-0001; 3.42013776392148E-0001; 5.07877300288039E-0001; 4.99353223478447E-0001; 4.91795361516274E-0001; 4.91795361516274E-0001; 1.03168994932078E-0002; 9.61294753055720E-0003; 9.54914088968995E-0003; 9.16800681934674E-0003; 2.75555668420992E-0002; 2.62678667389830E-0002; 2.64611523528382E-0002; 2.54694041879801E-0002; 1.49077627830928E+0000; 1.46986385166053E+0000; 1.44263973819597E+0000; 1.40998145247028E+0000; 9.84046058309312E-0002; 1.01576547489081E-0001; 1.01689448462645E-0001; 9.97148541454817E-0002; 2.41827701941515E-0001; 2.39727146812012E-0001; 2.39299850209513E-0001; 2.37552230559694E-0001; 1.36807514842320E-0001; 1.48239138206719E-0001; 1.47507040958874E-0001; 1.49660901552760E-0001; 7.22454289338265E-0002; 7.11908336264601E-0002; 7.06390687646248E-0002; 6.37871843727483E-0002;0
E02000004; 2.49294900000000E+0006; 6.12706000000000E+0003; 2.71993000000000E+0003; 3.21179736607667E-0001; 3.29650843128370E-0001; 3.33681160005781E-0001; 3.23097062040537E-0001; 1.28444593899758E-0001; 1.27116739229405E-0001; 1.24140216390508E-0001; 9.68734043981664E-0002; 5.06652936544971E-0001; 5.11085209015746E-0001; 5.13612748647427E-0001; 4.94554567730224E-0001; 1.86183362697705E+0000; 1.64996039762052E+0000; 1.71849332258528E+0000; 1.65409186736940E+0000; 3.78552418098452E-0001; 3.26396733731378E-0001; 1.17662879215590E+0000; 1.05245175960031E+0000; 2.77943455099759E-0001; 2.73278883617235E-0001; 2.69142788952097E-0001; 2.69142788952097E-0001; 1.02288494469802E-0003; 9.73705142092346E-0004; 9.66928037077783E-0004; 8.94440488172018E-0004; 1.22972402139249E-0003; 1.12325936491371E-0003; 1.13136441618113E-0003; 1.01706945593553E-0003; 1.48311860414950E-0001; 1.39863649519296E-0001; 1.37309596753808E-0001; 1.25929280531853E-0001; 6.31955884357978E-0003; 6.05319114175740E-0003; 6.05946454302088E-0003; 5.63319379585489E-0003; 1.75542588902215E-0002; 1.67024958471412E-0002; 1.66743342283306E-0002; 1.54420916881827E-0002; 9.96793090391959E-0003; 9.54028641925064E-0003; 9.48886284539014E-0003; 8.78834830138484E-0003; 1.49526748071310E-0003; 1.43193818182702E-0003; 1.42094828180340E-0003; 1.31301830532147E-0003;0
E02000005; 1.18795800000000E+0006; 7.87797000000000E+0003; 3.74197000000000E+0003; 8.24963343529795E-0001; 8.42646213504419E-0001; 8.39570831498040E-0001; 8.03140661899851E-0001; 5.39180943323327E-0001; 4.80371517523862E-0001; 4.86714468888600E-0001; 4.28238776425847E-0001; 1.36334843902857E+0000; 1.37527385640627E+0000; 1.38207700038532E+0000; 1.33080160706449E+0000; 4.81030239672772E+0000; 4.57671442975925E+0000; 4.46702772673858E+0000; 4.27000311520323E+0000; 6.42278214700348E-0001; 5.87296968764966E-0001; 6.98145636515708E-0001; 4.80130514584479E-0001; 7.49863156839770E-0001; 7.37277479814351E-0001; 7.26119466533113E-0001; 7.26119466533113E-0001; 7.72497061282420E-0003; 7.11631326910447E-0003; 7.06951564889742E-0003; 6.63891988678689E-0003; 2.29433260793370E-0002; 2.10878532896490E-0002; 2.12409305155008E-0002; 1.89995455230375E-0002; 1.31464162966695E+0000; 1.25091057406431E+0000; 1.22808207992778E+0000; 1.11765632044507E+0000; 1.45067817958080E-0001; 1.44964228975363E-0001; 1.45131239784233E-0001; 1.33629211142952E-0001; 1.87888409196946E-0001; 1.85802695959586E-0001; 1.85555446931264E-0001; 1.74613452233652E-0001; 1.19971224787162E-0001; 1.17818630351313E-0001; 1.17261094843220E-0001; 1.11657776502576E-0001; 3.42339486334407E-0002; 3.37496365064518E-0002; 3.34931624852349E-0002; 2.92020032902321E-0002;0
E02000006; 1.16165400000000E+0006; 8.80403000000000E+0003; 4.16099000000000E+0003; 1.11417745613594E+0000; 1.09648706454322E+0000; 1.05786820041425E+0000; 1.04139821874043E+0000; 4.14304256127067E-0001; 3.91702154367156E-0001; 3.83252444497086E-0001; 3.41856285487062E-0001; 1.44732371563447E+0000; 1.45999046800793E+0000; 1.46720394655666E+0000; 1.41277173809006E+0000; 5.78579007795317E+0000; 5.51388768115575E+0000; 5.50308195809576E+0000; 5.32561937960401E+0000; 7.53083131434550E-0001; 7.68127024957714E-0001; 6.68741790018771E-0001; 6.60883564753085E-0001; 8.54125584577236E-0001; 8.39790214728703E-0001; 8.27080616818188E-0001; 8.27080616818188E-0001; 6.36118647798310E-0003; 5.52589504464477E-0003; 5.49022318696221E-0003; 4.83191526791122E-0003; 2.00447341997707E-0002; 1.81878322086694E-0002; 1.83147965065369E-0002; 1.49780529043012E-0002; 1.23692569419577E+0000; 1.16243332320528E+0000; 1.14150583336484E+0000; 9.64094158515736E-0001; 1.25704678385951E-0001; 1.23899564463716E-0001; 1.24051980582905E-0001; 1.06594389626134E-0001; 1.52382216183910E-0001; 1.55219946856912E-0001; 1.55056819353460E-0001; 1.38771387951613E-0001; 8.18274090101712E-0002; 7.69587409191931E-0002; 7.65849234353791E-0002; 6.40741248859984E-0002; 1.35441031872103E-0002; 1.39589973556284E-0002; 1.38544385220906E-0002; 7.37601643469896E-0003;0
E02000007; 1.73600100000000E+0006; 7.75204000000000E+0003; 5.06203000000000E+0003; 4.53793033424146E-0001; 4.69969401859892E-0001; 4.61750360027437E-0001; 4.68389641391191E-0001; 4.53464771508572E-0001; 4.58396196608045E-0001; 4.51359936641663E-0001; 4.14177041367411E-0001; 1.56957395961772E+0000; 1.58330434278231E+0000; 1.59112929934633E+0000; 1.53209870607491E+0000; 2.58315160367032E+0000; 2.42954376809628E+0000; 2.33143534292779E+0000; 2.21543236911683E+0000; 8.71268146982187E-0001; 8.26276800300330E-0001; 8.02834020314767E-0001; 6.63086767943937E-0001; 5.21719906001674E-0001; 5.12964216434244E-0001; 5.05199625342682E-0001; 5.05199625342682E-0001; 6.48093707435026E-0003; 6.12242666495318E-0003; 6.08251180462596E-0003; 6.05495937220898E-0003; 1.87228970700649E-0002; 1.75798327915341E-0002; 1.77041146465893E-0002; 1.67996189236881E-0002; 1.06456989736336E+0000; 1.02608033291356E+0000; 1.00711978789419E+0000; 9.65096410274725E-0001; 1.18883090726077E-0001; 1.26546809666500E-0001; 1.26704233349570E-0001; 1.26783208221486E-0001; 1.66527624861778E-0001; 1.63477130017330E-0001; 1.63235010551556E-0001; 1.56547134324899E-0001; 1.04448969776938E-0001; 9.84580583025199E-0002; 9.79902587697887E-0002; 9.07300284339261E-0002; 3.24301993187150E-0002; 3.29008921856380E-0002; 3.26448978672626E-0002; 3.12131577455086E-0002;0
E02000008; 1.41999800000000E+0006; 1.05599700000000E+0004; 4.88195000000000E+0003; 9.24092079080104E-0001; 9.60508459395155E-0001; 9.40894147892587E-0001; 9.49937989815549E-0001; 5.61935240618803E-0001; 5.79860855936250E-0001; 5.38459501721210E-0001; 4.77906486986434E-0001; 1.31212778864226E+0000; 1.32360820548072E+0000; 1.33015156153574E+0000; 1.28079944366247E+0000; 5.30589498997365E+0000; 5.03111551748857E+0000; 4.93697709626332E+0000; 4.73191659457029E+0000; 1.20870491482652E+0000; 1.06048802010982E+0000; 9.61614641414924E-0001; 7.85873992580902E-0001; 8.35312048577649E-0001; 8.21292075779565E-0001; 8.08863767066467E-0001; 8.08863767066467E-0001; 6.99804831547097E-0003; 6.90318677598498E-0003; 6.85688148213419E-0003; 6.71748325377087E-0003; 1.64532516770346E-0002; 1.59267701328874E-0002; 1.60459901863261E-0002; 1.51366860565582E-0002; 1.02707730355605E+0000; 1.01764927239816E+0000; 9.98817648987492E-0001; 9.51206481537201E-0001; 1.17973990843809E-0001; 1.26630829842123E-0001; 1.26759294876105E-0001; 1.22138412427245E-0001; 1.53737916705922E-0001; 1.49962507825514E-0001; 1.49691830873439E-0001; 1.40899934768060E-0001; 9.21209252973351E-0002; 8.89986943900834E-0002; 8.85522020254180E-0002; 8.31739546922379E-0002; 1.87306521449149E-0002; 1.85908519608758E-0002; 1.84484792605117E-0002; 1.69843155158859E-0002;0
E02000009; 9.60739000000000E+0005; 8.64805999999999E+0003; 4.13797000000000E+0003; 1.33767698353932E+0000; 1.31415045460558E+0000; 1.25806468109754E+0000; 1.25939677495503E+0000; 2.86475867860871E-0001; 2.50710615217478E-0001; 2.68770224306165E-0001; 2.64606881457848E-0001; 1.56172492806277E+0000; 1.57537808806530E+0000; 1.58317210256730E+0000; 1.52443937028099E+0000; 5.38683047930175E+0000; 5.12269341312465E+0000; 5.02716192963350E+0000; 4.79560525803574E+0000; 1.17463183223763E+0000; 6.33225447870487E-0001; 1.83579905082675E-0001; 1.62286602805914E-0001; 1.01039099272900E+0000; 9.93435342611855E-0001; 9.78398520761993E-0001; 9.78398520761993E-0001; 6.66082574819295E-0003; 6.56422488242391E-0003; 6.52085549004298E-0003; 6.26705542942469E-0003; 1.64878547807003E-0002; 1.62420156770396E-0002; 1.63667769427930E-0002; 1.51563550244790E-0002; 1.04139286024593E+0000; 1.04812260174092E+0000; 1.02859223555938E+0000; 9.66196037229541E-0001; 1.42515863252356E-0001; 1.48436914104758E-0001; 1.48572725654050E-0001; 1.34558827363112E-0001; 1.47367413006619E-0001; 1.45079766673715E-0001; 1.44787112390333E-0001; 1.36107768182504E-0001; 8.15129512103461E-0002; 7.99363252719828E-0002; 7.95273459608179E-0002; 6.86116857694225E-0002; 1.19924093249735E-0002; 1.17643932592776E-0002; 1.16733769454042E-0002; 1.09036593458324E-0002;0
E02000010; 1.12146200000000E+0006; 7.79598000000000E+0003; 3.48000000000000E+0003; 8.08427549266678E-0001; 8.03641925699256E-0001; 8.60747442129297E-0001; 8.41029317169306E-0001; 5.37864838192422E-0001; 5.51506420325151E-0001; 5.01322214025431E-0001; 4.46028687324486E-0001; 1.05074170589567E+0000; 1.05993367806110E+0000; 1.06517502198227E+0000; 1.02565062066038E+0000; 4.69044316002084E+0000; 4.73085894913317E+0000; 4.45530112767264E+0000; 4.31782728593951E+0000; 3.97194439329763E-0001; 4.50956513557576E-0001; 3.38797291099683E-0001; 3.04760365442406E-0001; 7.76306440624811E-0001; 7.63277032315506E-0001; 7.51724821632662E-0001; 7.51724821632662E-0001; 3.23421996868422E-0003; 3.20724523253399E-0003; 3.18586902652815E-0003; 3.07074288846810E-0003; 6.86115137913296E-0003; 6.50223470114912E-0003; 6.55190893224841E-0003; 6.13598903824899E-0003; 5.16346022355082E-0001; 4.99721746944337E-0001; 4.90445287869458E-0001; 4.62876903941006E-0001; 4.61532645957610E-0002; 5.21066397598458E-0002; 5.21577390713455E-0002; 5.15765098509008E-0002; 6.94996442551438E-0002; 6.84621857236602E-0002; 6.83237493419080E-0002; 6.48540857327880E-0002; 4.60829266988561E-0002; 4.26882833936708E-0002; 4.24643421878953E-0002; 3.93878989778257E-0002; 1.17471413233259E-0002; 1.18450647051241E-0002; 1.17525362705559E-0002; 1.12602727836785E-0002;0
